A,B,C,D,E,F,G,H,I,J,K
11, -56993.1875, -3008.56689453125, -2306.766845703125, 629.0450439453125, -18745.7578125, -3806.389892578125, -811.435302734375, -55305.67578125, , 1714826858174.272
12, -57000.5625, -2551.250244140625, -1912.0797119140625, 714.0711059570312, -18752.328125, -4278.1904296875, -827.2603149414062, -55299.37109375, , 1714826858177.913
13, -56979.77734375, -2805.791748046875, -2128.064697265625, 731.4384155273438, -18728.390625, -3289.662353515625, -617.5115966796875, -55259.00390625, , 1714826858182.016
14, -56967.7734375, -3321.111083984375, -2582.76611328125, 663.511474609375, -18719.806640625, -2652.101318359375, -570.2376098632812, -55257.328125, , 1714826858185.683
15, -56980.109375, -3176.204833984375, -2484.060791015625, 662.505615234375, -18740.125, -3565.393310546875, -790.3799438476562, -55294.07421875, , 1714826858189.954
16, -56997.34375, -2631.179931640625, -2012.5955810546875, 743.91064453125, -18759.90625, -4431.61279296875, -891.9686279296875, -55295.34765625, , 1714826858193.61
17, -56979.3046875, -2697.4306640625, -2041.4293212890625, 760.6744995117188, -18738.650390625, -3697.156982421875, -700.7271118164062, -55242.44140625, , 1714826858197.716
18, -56965.42578125, -3270.41748046875, -2511.083984375, 652.9837646484375, -18722.69140625, -2698.570556640625, -562.660400390625, -55228.42578125, , 1714826858201.45
19, -56977.765625, -3340.2890625, -2583.36962890625, 626.1616821289062, -18733.822265625, -3245.00341796875, -730.0972900390625, -55272.078125, , 1714826858205.116
20, -56999.01953125, -2793.45361328125, -2108.953857421875, 692.6134033203125, -18752.798828125, -4350.87841796875, -892.1697998046875, -55295.28125, , 1714826858209.189
21, -56991.109375, -2643.25, -1958.9512939453125, 744.8494262695312, -18735.36328125, -4010.908203125, -755.10888671875, -55254.37890625, , 1714826858213.308
22, -56971.328125, -3151.528564453125, -2388.84228515625, 714.0711059570312, -18714.041015625, -2864.1298828125, -564.3367919921875, -55224.47265625, , 1714826858216.963
23, -56967.90625, -3426.25390625, -2617.43359375, 646.1441650390625, -18720.947265625, -2955.526123046875, -651.0391845703125, -55252.56640625, , 1714826858221.066
